  0.796493530      ,  0.411869705    
  0.499053478      , -0.450855494    
  0.327370495      ,  -1.00778437    
  0.180086002      ,  -1.47369838    
   4.64914516E-02  ,  -1.84894180    
  -7.73335546E-02  ,  -2.12468219    
 -0.193106502      ,  -2.29320955    
 -0.301584005      ,  -2.35051155    
 -0.403033018      ,  -2.29742050    
 -0.497446507      ,  -2.14021826    
 -0.584659994      ,  -1.89052391    
 -0.664416492      ,  -1.56495810    
 -0.736409009      ,  -1.18418741    
 -0.800310969      , -0.772019863    
 -0.855796993      , -0.354135752    
 -0.902561486      ,   4.35014367E-02
 -0.940330029      ,  0.396200299    
 -0.968870044      ,  0.682007790    
 -0.988000512      ,  0.883086562    
 -0.997596979      ,  0.986872792    
 -0.997596979      ,  0.986871958    
 -0.988000035      ,  0.883084536    
 -0.968868971      ,  0.682007253    
 -0.940329015      ,  0.396198273    
 -0.902561009      ,   4.34823632E-02
 -0.855796456      , -0.354154110    
 -0.800310016      , -0.772022724    
 -0.736407995      ,  -1.18417716    
 -0.664415479      ,  -1.56494975    
 -0.584658980      ,  -1.89056754    
 -0.497444987      ,  -2.14021873    
 -0.403030992      ,  -2.29738832    
 -0.301582515      ,  -2.35050607    
 -0.193104997      ,  -2.29321098    
  -7.73316994E-02  ,  -2.12469363    
   4.64932993E-02  ,  -1.84893537    
  0.180087999      ,  -1.47368455    
  0.327372998      ,  -1.00777769    
  0.499056488      , -0.450844884    
  0.796494961      ,  0.411872864    
