1,0
0.59299,0.376833
0.405123,0.50968
0.249623,0.594341
0.110553,0.650256
-0.0175664,0.68517
-0.137097,0.703194
-0.249113,0.706899
-0.354052,0.69808
-0.45201,0.678114
-0.54288,0.648139
-0.626438,0.609152
-0.702393,0.562077
-0.770423,0.507798
-0.830197,0.447183
-0.881396,0.381105
-0.923726,0.310441
-0.956932,0.236085
-0.980806,0.158944
-0.995194,0.0799399
-1,5.4041e-07
-0.995194,-0.0799386
-0.980807,-0.158943
-0.956933,-0.236083
-0.923727,-0.310439
-0.881396,-0.381103
-0.830198,-0.447182
-0.770424,-0.507797
-0.702394,-0.562077
-0.626439,-0.609151
-0.542881,-0.648138
-0.452012,-0.678114
-0.354054,-0.69808
-0.249114,-0.706899
-0.137099,-0.703194
-0.0175681,-0.68517
0.110551,-0.650257
0.249621,-0.594342
0.40512,-0.509682
0.592987,-0.376836
1,0
